dateTime,open,high,low,close,volume
1674372600000,22913.75000000,22939.97000000,22886.22000000,22895.20000000,3200.07411000
1674374400000,22895.49000000,22902.43000000,22809.56000000,22865.53000000,4059.08393000
1674376200000,22864.75000000,22921.24000000,22850.00000000,22909.76000000,3728.88629000
1674378000000,22908.20000000,22938.12000000,22879.41000000,22929.47000000,3807.24606000
1674379800000,22928.93000000,22930.06000000,22833.59000000,22856.68000000,4058.27168000
1674381600000,22857.48000000,22883.87000000,22839.09000000,22855.72000000,3570.04933000
1674383400000,22855.76000000,22903.51000000,22848.69000000,22872.97000000,2922.89079000
1674385200000,22872.21000000,22884.91000000,22744.00000000,22765.18000000,5531.79829000
1674387000000,22766.39000000,22817.13000000,22726.02000000,22783.61000000,4061.26553000
1674388800000,22784.74000000,22800.34000000,22700.01000000,22718.13000000,4611.69645000
1674390600000,22718.22000000,22871.68000000,22700.01000000,22869.56000000,4875.49314000
1674392400000,22869.56000000,22919.07000000,22846.82000000,22897.69000000,4647.30796000
1674394200000,22897.07000000,22930.01000000,22872.77000000,22897.79000000,3650.05594000
1674396000000,22897.79000000,22938.12000000,22866.81000000,22931.95000000,4016.95258000
1674397800000,22933.20000000,23040.00000000,22868.82000000,22990.41000000,6081.40661000
1674399600000,22990.42000000,23078.71000000,22645.59000000,22778.43000000,14003.40130000
1674401400000,22778.43000000,22866.95000000,22744.11000000,22794.51000000,7384.71398000
1674403200000,22794.63000000,22836.18000000,22689.72000000,22831.53000000,7129.09175000
1674405000000,22830.39000000,22862.27000000,22786.92000000,22819.28000000,4756.56263000
1674406800000,22819.38000000,22913.50000000,22780.50000000,22892.04000000,6021.58947000
1674408600000,22892.04000000,22959.71000000,22868.42000000,22922.34000000,6632.75376000
1674410400000,22922.34000000,22936.84000000,22870.00000000,22876.55000000,3763.23486000
1674412200000,22875.40000000,22894.65000000,22818.84000000,22838.00000000,3854.91158000
1674414000000,22838.00000000,22856.75000000,22766.01000000,22807.42000000,4292.11541000
1674415800000,22808.12000000,22844.00000000,22687.13000000,22722.15000000,4655.26255000
1674417600000,22721.88000000,22736.00000000,22430.66000000,22570.42000000,13341.21643000
1674419400000,22569.13000000,22603.29000000,22292.37000000,22459.46000000,11605.22840000
1674421200000,22459.46000000,22490.66000000,22317.00000000,22439.79000000,8918.91506000
1674423000000,22438.48000000,22639.71000000,22434.66000000,22585.37000000,7291.83477000
1674424800000,22585.38000000,22624.96000000,22560.00000000,22566.72000000,3573.63517000
1674426600000,22567.63000000,22698.00000000,22536.26000000,22676.48000000,3323.22694000
1674428400000,22676.48000000,22754.99000000,22641.11000000,22686.05000000,6426.85196000
1674430200000,22686.05000000,22773.89000000,22675.02000000,22707.88000000,4118.44999000
1674432000000,22706.02000000,22781.05000000,22660.67000000,22775.68000000,6574.18905000
1674433800000,22775.70000000,22811.15000000,22727.11000000,22745.28000000,4952.80353000
